,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,nnodes,bw(GiB/s),tasks_per_node,xfer_str
84,write,100233.3887,103175.8651,0.0038,131072,1024,0.1087,0.9528,0.4853,0.9808,768,4,write_n-8_ppn-96_tx-1M.csv,1,8,97.88416865234375,96.0,1M
85,write,182304.6828,97780.5367,0.0016,131072,2048,0.0618,0.1676,0.1063,0.1797,256,4,write_n-8_ppn-32_tx-2M.csv,1,8,178.031916796875,32.0,2M
86,write,448088.6756,31474.1851,0.0021,131072,16384,0.0059,0.0244,0.0074,0.0274,96,2,write_n-8_ppn-12_tx-16M.csv,1,8,437.586597265625,12.0,4M
87,write,250488.9653,18685.036,0.0043,131072,16384,0.0383,0.0822,0.0492,0.0981,192,3,write_n-8_ppn-24_tx-16M.csv,1,8,244.61813017578126,24.0,4M
88,write,96271.7738,99371.7437,0.0044,131072,1024,0.1393,1.1129,0.5532,1.1487,864,2,write_n-8_ppn-108_tx-1M.csv,1,8,94.0154041015625,108.0,1M
89,write,202498.8706,106587.2135,0.0005,131072,2048,0.006,0.0576,0.0253,0.0607,96,3,write_n-8_ppn-12_tx-2M.csv,1,8,197.7528033203125,12.0,2M
90,write,188975.1315,98517.881,0.0031,131072,2048,0.2799,0.5613,0.3747,0.5852,864,3,write_n-8_ppn-108_tx-2M.csv,1,8,184.54602685546874,108.0,2M
91,write,240856.4515,17058.5488,0.0057,131072,16384,0.0557,0.1201,0.0852,0.136,256,2,write_n-8_ppn-32_tx-16M.csv,1,8,235.21137841796875,32.0,4M
92,write,358560.0965,25853.3618,0.0023,131072,16384,0.0059,0.0198,0.0022,0.0228,64,4,write_n-8_ppn-8_tx-16M.csv,1,8,350.15634423828124,8.0,4M
93,write,198124.8633,12882.3641,0.0263,131072,16384,0.1698,0.4769,0.2924,0.4962,768,1,write_n-8_ppn-96_tx-16M.csv,1,8,193.48131181640625,96.0,4M
94,write,167878.7236,89487.3409,0.0006,131072,2048,0.0062,0.0458,0.0115,0.0488,64,4,write_n-8_ppn-8_tx-2M.csv,1,8,163.944066015625,8.0,2M
95,write,269819.6872,18124.1112,0.0092,131072,16384,0.0561,0.1695,0.1015,0.1822,384,2,write_n-8_ppn-48_tx-16M.csv,1,8,263.49578828125,48.0,4M
96,write,66142.7889,4226.1025,0.0126,131072,16384,0.0059,0.1363,0.041,0.1393,12,4,write_n-1_ppn-12_tx-16M.csv,6,1,64.59256728515625,12.0,4M
97,write,1314.6753,84158.2892,0.0017,131072,16,0.019,14.017,0.7698,14.0202,24,2,write_n-1_ppn-24_tx-16K.csv,6,1,1.28386259765625,24.0,16K
98,write,15821.3173,15832.0798,0.0248,131072,1024,0.0302,4.6569,1.591,4.66,96,2,write_n-1_ppn-96_tx-1M.csv,6,1,15.45050517578125,96.0,1M
