access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,41007.2513,0.0728,131072.0,2048.0,0.0384,4.7945,1.7028,4.7978,96,3,1,32,80.0369330078125
write,40627.12,0.0733,131072.0,2048.0,0.023,4.8393,1.7583,4.8441,96,4,1,32,79.27165625
write,43920.9294,0.0275,131072.0,2048.0,0.007,1.8652,0.2692,1.869,40,0,1,32,85.6075515625
write,45502.4876,0.0265,131072.0,2048.0,0.0062,1.8003,0.2029,1.8035,40,1,1,32,88.71629404296876
write,45904.561,0.0264,131072.0,2048.0,0.0061,1.7846,0.1437,1.7877,40,2,1,32,89.50018017578125
write,46868.1234,0.026,131072.0,2048.0,0.0062,1.7479,0.1259,1.7512,40,3,1,32,91.36852236328124
write,46354.16,0.0267,131072.0,2048.0,0.0056,1.7673,0.1319,1.7702,40,4,1,32,90.38740908203125
write,18862.8841,0.024,131072.0,2048.0,0.0063,1.7372,0.2777,1.7405,16,0,1,32,36.77076630859375
write,21458.4677,0.0227,131072.0,2048.0,0.006,1.527,0.0927,1.5301,16,1,1,32,41.82656611328125
write,22585.3177,0.022,131072.0,2048.0,0.0058,1.4509,0.0542,1.4539,16,2,1,32,44.0188666015625
write,22675.28,0.0223,131072.0,2048.0,0.0058,1.4451,0.0485,1.4481,16,3,1,32,44.1954107421875
write,22158.7775,0.0224,131072.0,2048.0,0.006,1.4788,0.0506,1.4819,16,4,1,32,43.18862001953125
write,43175.8575,0.0507,131072.0,2048.0,0.0208,3.4152,1.5941,3.4221,72,0,1,32,84.15990361328124
write,45640.3827,0.0463,131072.0,2048.0,0.0153,3.2308,1.5883,3.2342,72,1,1,32,89.0491759765625
write,46228.2477,0.0472,131072.0,2048.0,0.0147,3.1897,1.4883,3.193,72,2,1,32,90.19597763671875
write,25091.2964,0.0462,131072.0,2048.0,0.0144,5.8768,4.1719,5.8801,72,3,1,32,48.9786912109375
write,46675.2844,0.0465,131072.0,2048.0,0.0142,3.1592,1.4589,3.1625,72,4,1,32,91.066674609375
write,30078.5922,0.0244,131072.0,2048.0,0.0066,1.6341,0.1432,1.6377,24,0,1,32,58.61757998046875
write,32286.2457,0.0235,131072.0,2048.0,0.0059,1.5224,0.0844,1.5254,24,1,1,32,62.9344728515625
write,32717.4842,0.0231,131072.0,2048.0,0.0064,1.5023,0.0382,1.5057,24,2,1,32,63.75869521484375
write,31661.8189,0.0239,131072.0,2048.0,0.0058,1.5524,0.0573,1.5554,24,3,1,32,61.7189482421875
write,31895.3446,0.0232,131072.0,2048.0,0.0061,1.541,0.0681,1.5443,24,4,1,32,62.1652166015625
write,35827.9193,0.0732,131072.0,2048.0,0.039,5.0303,1.7925,5.0367,88,0,1,32,69.88655595703125
write,36058.2938,0.0713,131072.0,2048.0,0.0234,4.9981,2.0362,5.0013,88,1,1,32,70.38235029296875
write,36153.8191,0.0719,131072.0,2048.0,0.0208,4.9849,1.8782,4.9881,88,2,1,32,70.56785322265625
write,32316.4459,0.0708,131072.0,2048.0,0.0205,5.5769,3.1756,5.5801,88,3,1,32,63.0812279296875
write,35756.9138,0.0712,131072.0,2048.0,0.0275,5.0403,2.3421,5.0435,88,4,1,32,69.79223583984376
write,46485.5372,0.0535,131072.0,2048.0,0.0234,3.5245,0.2243,3.5317,80,0,1,32,90.608023046875
write,33424.4358,0.0503,131072.0,2048.0,0.0183,4.9018,2.2314,4.9051,80,1,1,32,65.23831513671875
write,26318.2165,0.0506,131072.0,2048.0,0.013,6.2253,3.6489,6.2286,80,2,1,32,51.37586962890625
write,35235.6219,0.0509,131072.0,2048.0,0.0134,4.6498,1.5648,4.6531,80,3,1,32,68.7711486328125
write,36401.591,0.0505,131072.0,2048.0,0.0174,4.5009,1.8646,4.5041,80,4,1,32,71.04629970703125
write,36025.8139,0.0462,131072.0,2048.0,0.021,3.1835,1.461,3.1899,56,0,1,32,70.2209564453125
write,37034.3826,0.0459,131072.0,2048.0,0.0131,3.0968,1.4156,3.1001,56,1,1,32,72.25562158203125
write,37558.8481,0.0443,131072.0,2048.0,0.0114,3.0536,1.4164,3.0569,56,2,1,32,73.27732861328126
write,38088.7494,0.0442,131072.0,2048.0,0.0179,3.0111,1.3689,3.0144,56,3,1,32,74.309808203125
write,38054.4504,0.0439,131072.0,2048.0,0.0136,3.0138,1.3916,3.017,56,4,1,32,74.2457412109375
write,38861.9156,0.0488,131072.0,2048.0,0.0225,3.3728,1.5714,3.3793,64,0,1,32,75.75593525390624
write,42068.6921,0.0454,131072.0,2048.0,0.0167,3.1157,1.4259,3.1189,64,1,1,32,82.081461328125
write,42729.735,0.0451,131072.0,2048.0,0.0166,3.0675,1.3895,3.0708,64,2,1,32,83.36530087890625
write,42932.7045,0.0451,131072.0,2048.0,0.0117,3.053,1.3473,3.0563,64,3,1,32,83.7614978515625
write,43204.159,0.0455,131072.0,2048.0,0.0137,3.0338,1.2798,3.037,64,4,1,32,84.294069921875
write,30397.1999,0.0479,131072.0,2048.0,0.0203,3.234,1.5807,3.2402,48,0,1,32,59.25644228515625
write,31354.6678,0.0456,131072.0,2048.0,0.0098,3.1352,1.5392,3.1385,48,1,1,32,61.17603271484375
write,31653.5717,0.045,131072.0,2048.0,0.0141,3.1056,1.5642,3.1091,48,2,1,32,61.75444482421875
write,31954.7122,0.0436,131072.0,2048.0,0.0093,3.0764,1.5554,3.0796,48,3,1,32,62.34519248046875
write,32065.0586,0.0433,131072.0,2048.0,0.0145,3.0658,1.5786,3.069,48,4,1,32,62.56099267578125
write,38146.6201,0.0261,131072.0,2048.0,0.007,1.718,0.1854,1.7219,32,0,1,32,74.33855830078124
write,39469.7259,0.025,131072.0,2048.0,0.0061,1.6604,0.159,1.6635,32,1,1,32,76.94476083984375
