access,IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,nnodes,seg,bw(GiB/s)
write,156076.5631,0.1473,131072.0,8192.0,0.1288,2.5194,0.6192,2.536,768,2,16,32,1211.342111328125
write,151590.0766,0.1524,131072.0,8192.0,0.0922,2.5939,0.8817,2.5973,768,3,16,32,1182.7822212890626
write,123190.0896,0.1583,131072.0,8192.0,0.1192,3.1919,1.4122,3.1957,768,4,16,32,961.3019408203126
write,121337.2367,0.186,131072.0,8192.0,0.0616,4.3209,2.3152,4.3426,1024,0,16,32,943.2120107421875
write,85821.4027,0.3191,131072.0,8192.0,0.0775,6.1091,4.1019,6.1418,1024,1,16,32,666.9013333007813
write,60846.0897,0.4558,131072.0,8192.0,0.051,8.6166,5.0229,8.6199,1024,2,16,32,475.17825224609373
write,148688.4623,0.2092,131072.0,8192.0,0.0453,3.5261,1.516,3.5304,1024,3,16,32,1160.217708203125
write,127432.1821,0.1887,131072.0,8192.0,0.0712,4.1143,2.0879,4.1357,1024,4,16,32,990.3972920898437
write,67892.0592,0.0506,131072.0,8192.0,0.0067,0.9653,0.2055,0.969,128,0,16,32,528.3819279296875
write,85648.3961,0.0474,131072.0,8192.0,0.0062,0.7652,0.0567,0.7683,128,1,16,32,666.3802470703125
write,86461.8614,0.0467,131072.0,8192.0,0.0061,0.758,0.0574,0.7611,128,2,16,32,672.6875341796875
write,84477.666,0.0476,131072.0,8192.0,0.0064,0.7758,0.0568,0.7791,128,3,16,32,657.198945703125
write,86472.6597,0.0459,131072.0,8192.0,0.0061,0.7579,0.058,0.761,128,4,16,32,672.7619250976562
write,142410.032,0.2037,131072.0,8192.0,0.0629,4.6019,2.4905,4.6264,1280,0,16,32,1106.6896344726563
write,164954.6809,0.2233,131072.0,8192.0,0.0596,3.973,0.6537,3.9946,1280,1,16,32,1281.7358254882813
write,162660.1402,0.228,131072.0,8192.0,0.0527,4.029,0.7186,4.0484,1280,2,16,32,1264.7012096679687
write,149574.6558,0.2555,131072.0,8192.0,0.0635,4.3815,0.7231,4.4116,1280,3,16,32,1160.5692934570313
write,136763.8937,0.2664,131072.0,8192.0,0.0576,4.7919,1.2763,4.8042,1280,4,16,32,1065.7263892578126
write,183591.4247,0.1553,131072.0,8192.0,0.0424,2.4988,0.6475,2.508,896,0,16,32,1429.0480927734375
write,167909.5323,0.1681,131072.0,8192.0,0.0448,2.7321,0.644,2.7441,896,1,16,32,1306.0582393554687
write,92090.0105,0.3021,131072.0,8192.0,0.0461,4.9816,1.2037,4.9848,896,2,16,32,718.9865618164063
write,157968.0918,0.169,131072.0,8192.0,0.044,2.9041,0.8434,2.9081,896,3,16,32,1232.4337833007812
write,170687.6827,0.1577,131072.0,8192.0,0.1186,2.6877,0.7032,2.7114,896,4,16,32,1321.808331640625
write,129022.0092,0.0695,131072.0,8192.0,0.0069,1.5238,0.4535,1.5277,384,0,16,32,1005.4159354492188
write,188132.2559,0.0642,131072.0,8192.0,0.0064,1.0451,0.0609,1.0484,384,1,16,32,1465.068775
write,128593.66,0.0931,131072.0,8192.0,0.0061,1.5289,0.1294,1.5321,384,2,16,32,1002.5146611328125
write,180127.2899,0.0653,131072.0,8192.0,0.006,1.0915,0.0913,1.0947,384,3,16,32,1403.1432704101562
write,178331.8417,0.0661,131072.0,8192.0,0.0059,1.1025,0.115,1.1056,384,4,16,32,1389.2772520507813
write,142583.5666,0.1926,131072.0,8192.0,0.0503,4.1367,2.1571,4.1421,1152,0,16,32,1112.4756936523438
write,133713.1625,0.2412,131072.0,8192.0,0.0601,4.4111,1.703,4.4311,1152,1,16,32,1039.917188671875
write,164842.1582,0.1917,131072.0,8192.0,0.0507,3.5781,1.4702,3.586,1152,2,16,32,1284.9879114257812
write,180596.606,0.1911,131072.0,8192.0,0.0535,3.266,1.17,3.2818,1152,3,16,32,1404.0993279296874
write,151724.8978,0.1916,131072.0,8192.0,0.0626,3.8875,1.6861,3.9114,1152,4,16,32,1178.0815627929687
write,175820.5776,0.2415,131072.0,8192.0,0.1083,4.1002,0.8131,4.126,1408,0,16,32,1365.0127015625
write,178654.7401,0.2411,131072.0,8192.0,0.0663,4.0351,0.8598,4.0592,1408,1,16,32,1387.4562852539063
write,149164.9822,0.2727,131072.0,8192.0,0.0993,4.8329,2.0924,4.8523,1408,2,16,32,1160.6941157226563
write,165886.5881,0.255,131072.0,8192.0,0.1151,4.3457,1.0509,4.3577,1408,3,16,32,1292.4240220703125
write,137195.693,0.3199,131072.0,8192.0,0.1,5.2545,1.5602,5.2808,1408,4,16,32,1066.5145397460938
write,147698.2393,0.2543,131072.0,8192.0,0.1137,5.3246,2.9146,5.3589,1536,0,16,32,1146.4990349609375
write,106775.7654,0.3923,131072.0,8192.0,0.0843,7.3653,4.2954,7.3726,1536,1,16,32,833.3523463867188
write,82470.8027,0.5526,131072.0,8192.0,0.1055,9.5359,2.6943,9.5516,1536,2,16,32,643.2406580078125
