,access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,fromCSV,segments,bw(GiB/s),Latency(ms),nnodes,tasks_per_node,xfer_str
101,read,22385.9911,1432831.6209,0.0041,131072,16,0.0061,35.1274,1.9019,35.1305,192,2,rw_n-4_ppn-48_tx-16K.csv,32,21.86131943359375,4.1000000000000005,4,48.0,16K
102,write,169578.3286,10652.0751,0.0923,131072,16384,0.0073,0.7691,0.0877,0.7729,32,0,rw_n-4_ppn-8_tx-16M.csv,32,165.6038365234375,92.3,4,8.0,16M
103,read,223633.7895,14053.603,0.0656,131072,16384,0.0062,0.5829,0.0703,0.5861,32,4,rw_n-4_ppn-8_tx-16M.csv,32,218.39237255859376,65.60000000000001,4,8.0,16M
111,read,152818.5344,9569.2265,0.1846,131072,16384,0.0064,1.7122,0.5868,1.7154,64,2,rw_n-4_ppn-16_tx-16M.csv,32,149.23685,184.6,4,16.0,16M
110,write,281621.4739,17671.3946,0.1121,131072,16384,0.0069,0.9271,0.0987,0.9308,64,0,rw_n-4_ppn-16_tx-16M.csv,32,275.02097060546873,112.10000000000001,4,16.0,16M
109,read,336712.3011,337411.368,0.0117,131072,1024,0.0063,1.5539,0.0681,1.5571,128,3,rw_n-4_ppn-32_tx-1M.csv,32,328.82060654296873,11.700000000000001,4,32.0,1M
108,write,284962.2213,285587.8809,0.0138,131072,1024,0.0073,1.8358,0.0888,1.8399,128,0,rw_n-4_ppn-32_tx-1M.csv,32,278.2834192382812,13.799999999999999,4,32.0,1M
107,read,3596.937,230224.1867,0.0044,131072,16,0.0062,36.4367,0.1787,36.4399,32,4,rw_n-4_ppn-8_tx-16K.csv,32,3.5126337890625,4.4,4,8.0,16K
106,write,3555.1945,227556.3527,0.0045,131072,16,0.0072,36.8639,0.179,36.8677,32,0,rw_n-4_ppn-8_tx-16K.csv,32,3.47186962890625,4.5,4,8.0,16K
105,read,124431.2525,7781.6997,0.7351,131072,16384,0.0075,6.3164,1.442,6.3202,192,4,rw_n-4_ppn-48_tx-16M.csv,32,121.51489501953125,735.1,4,48.0,16M
104,write,491704.3758,30868.7687,0.1854,131072,16384,0.0105,1.5923,0.1212,1.5994,192,0,rw_n-4_ppn-48_tx-16M.csv,32,480.1800544921875,185.4,4,48.0,16M
119,read,108881.252,54589.0039,0.0185,131072,2048,0.0064,1.2005,0.0192,1.2038,32,1,rw_n-4_ppn-8_tx-2M.csv,32,106.32934765625,18.5,4,8.0,2M
118,write,91062.1275,45642.4946,0.0215,131072,2048,0.0068,1.4359,0.0787,1.4394,32,4,rw_n-4_ppn-8_tx-2M.csv,32,88.92785888671875,21.5,4,8.0,2M
117,read,96101.2227,6009.9848,0.6164,131072,16384,0.0066,5.4523,1.0811,5.4556,128,3,rw_n-4_ppn-32_tx-16M.csv,32,93.84885029296875,616.4,4,32.0,16M
